"Clé de ticket","Résumé","Création","Durée(mn)"
"OBCS-1939","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 09:56","2.8"
"OBCS-1940","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 09:56","4.51"
"OBCS-1943","Assistance - Explication en ligne - Comptable","19/juin/24 09:56","85"
"OBCS-1964","Autres - Explication en ligne - Intérimaire chef comptable","19/juin/24 09:57","7.2"
"OBCS-1965","Autres - Autres (Précisez dans la description) - Comptable","19/juin/24 09:57","6"
"OBCS-1966","Autres - Explication en ligne - Assistant(e) Comptable","19/juin/24 09:57","6.11"
"OBCS-1967","Assistance - Explication en ligne - Chef de Projet","19/juin/24 09:57","2"
"OBCS-1968","Autres - Explication en ligne - Comptable","19/juin/24 09:57","5"
"OBCS-1969","Relance sur Requête en cours - Autres (Précisez dans la description) - Comptable","19/juin/24 09:57","6.21"
"OBCS-1970","Assistance - Explication en ligne - Comptable","19/juin/24 09:57","7.28"
"OBCS-1977","Assistance - Explication en ligne - Comptable","19/juin/24 09:57","0.41"
"OBCS-1978","Assistance - Explication en ligne - Comptable","19/juin/24 09:57","0.54"
"OBCS-1981","Autres - Explication en ligne - Assistant(e) / Stagiaire","19/juin/24 09:57","0.46"
"OBCS-1982","Autres - Explication en ligne - Assistant(e) / Stagiaire","19/juin/24 09:57","0.52"
"OBCS-1992","Assistance - Explication en ligne - Assistant(e) Comptable","19/juin/24 09:57","1"
"OBCS-1993","Assistance - Explication en ligne - Assistant(e) Comptable","19/juin/24 09:57","8.49"
"OBCS-1995","Assistance - Explication en ligne - Comptable","19/juin/24 09:57","45"
"OBCS-1997","Assistance - Explication en ligne - Comptable","19/juin/24 09:57","8.59"
"OBCS-1998","Assistance - Explication en ligne - Comptable","19/juin/24 09:57","6.54"
"OBCS-1999","Autres - Explication en ligne - Comptable","19/juin/24 09:57","0.55"
"OBCS-2000","Assistance - Explication en ligne - Chef de Projet","19/juin/24 09:57","0.5"
"OBCS-2001","Assistance - Explication en ligne - Chef de Projet","19/juin/24 09:57","12.59"
"OBCS-2003","Assistance - Explication en ligne - Chef de Projet","19/juin/24 09:57","6.26"
"OBCS-2008","Autres - Autres (Précisez dans la description) - Chef de Projet","19/juin/24 09:57","2.9"
"OBCS-2009","Assistance - Explication en ligne - Assistant(e) Comptable","19/juin/24 09:57","0.42"
"OBCS-2010","Autres - Explication en ligne - Chef de Projet","19/juin/24 09:57","1.47"
"OBCS-2011","Assistance - Explication en ligne - Comptable","19/juin/24 09:57","2.14"
"OBCS-2012","Autres - Explication en ligne - Comptable","19/juin/24 09:57","0.36"
"OBCS-2018","Assistance - Explication en ligne - Comptable","19/juin/24 09:57","2.54"
"OBCS-2019","Assistance - Explication en ligne - Caissier(ère)","19/juin/24 09:57","0.32"
"OBCS-2020","Assistance - Explication en ligne - Assistant(e) Comptable","19/juin/24 09:57","9.23"
"OBCS-2021","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 09:57","1.26"
"OBCS-2022","Assistance - Explication en ligne - Comptable","19/juin/24 09:58","5.48"
"OBCS-2024","Assistance - Explication en ligne - Comptable","19/juin/24 09:58","8.56"
"OBCS-2025","Assistance - Explication en ligne - Comptable","19/juin/24 09:58","0.37"
"OBCS-2026","Assistance - Explication en ligne - Comptable","19/juin/24 09:58","2"
"OBCS-2045","Assistance - Explication en ligne - Télésales","19/juin/24 09:58","2.9"
"OBCS-2046","Relance sur Requête en cours - Explication en ligne - Chef de Projet","19/juin/24 09:58","14.57"
"OBCS-2051","Assistance - Explication en ligne - Comptable","19/juin/24 09:58","1.25"
"OBCS-2052","Assistance - Explication en ligne - Comptable","19/juin/24 09:58","4.4"
"OBCS-2053","Assistance - Explication en ligne - Comptable","19/juin/24 09:58","0.5"
"OBCS-2054","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 09:58","1.22"
"OBCS-2055","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 09:58","2.6"
"OBCS-2056","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 09:58","1.54"
"OBCS-2057","Assistance - Explication en ligne - Comptable","19/juin/24 09:58","2.3"
"OBCS-2058","Assistance - Explication en ligne - Chef de Projet","19/juin/24 09:58","10.35"
"OBCS-2059","Relance sur Requête en cours - Explication en ligne - Assistant(e) RH","19/juin/24 09:58","5.2"
"OBCS-2060","Assistance - Explication en ligne - Comptable","19/juin/24 09:58","1.32"
"OBCS-2061","Assistance - Explication en ligne - Comptable","19/juin/24 09:58","5.2"
"OBCS-2062","Autres - Explication en ligne - Chef du Département des Affaires Juridiques, du Contentieux et des Ressources Humaines","19/juin/24 09:58","3.37"
"OBCS-2066","Assistance - Explication en ligne - Comptable","19/juin/24 09:58","53"
"OBCS-2067","Assistance - Explication en ligne - Comptable","19/juin/24 09:58","5"
"OBCS-2088","Assistance - Explication en ligne - Chef de Projet","19/juin/24 09:58","1.42"
"OBCS-2098","Assistance - Explication en ligne - Contrôleur de gestion","19/juin/24 09:58","0.31"
"OBCS-2099","Assistance - Explication en ligne - Comptable","19/juin/24 09:58","6.1"
"OBCS-2100","Assistance - Explication en ligne - Comptable","19/juin/24 09:59","2.59"
"OBCS-2101","Assistance - Explication en ligne - Comptable","19/juin/24 09:59","3"
"OBCS-2102","Assistance - Explication en ligne - Comptable","19/juin/24 09:59","2.44"
"OBCS-2103","Assistance - Explication en ligne - Comptable","19/juin/24 09:59","1.9"
"OBCS-2104","Assistance - Explication en ligne - Comptable","19/juin/24 09:59","1"
"OBCS-2105","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 09:59","6"
"OBCS-2106","Assistance - Explication en ligne - Comptable","19/juin/24 09:59","14"
"OBCS-2108","Assistance - Explication en ligne - Comptable","19/juin/24 09:59","14.4"
