"Clé de ticket","Résumé","Création","Durée(mn)"
"OBCS-2829","Assistance - Explication en ligne - RAF","19/juin/24 10:39","1.39"
"OBCS-2833","Assistance - Explication en ligne - Comptable","19/juin/24 10:39","2"
"OBCS-2845","Assistance - Explication en ligne - Responsable Admin & FI","19/juin/24 10:40","3.55"
"OBCS-2846","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:40","3.12"
"OBCS-2896","Relance sur Requête en cours - Explication en ligne - Assistant(e) Comptable","19/juin/24 10:40","2.27"
"OBCS-2897","Assistance - Explication en ligne - Comptable","19/juin/24 10:40","6.48"
"OBCS-2920","Assistance - Explication en ligne - RAF","19/juin/24 10:41","13.49"
"OBCS-2926","Relance sur Bug en cours - Explication en ligne - Comptable","19/juin/24 10:41","3.4"
"OBCS-2927","Relance sur Bug en cours - Explication en ligne - Comptable","19/juin/24 10:41","3.18"
"OBCS-2928","Assistance - Explication en ligne - Comptable","19/juin/24 10:41","1.41"
"OBCS-2929","Autres - Explication en ligne - Comptable","19/juin/24 10:41","2.45"
"OBCS-2930","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:41","1.26"
"OBCS-2931","Assistance - Explication en ligne - RAF","19/juin/24 10:41","1.55"
"OBCS-2932","Assistance - Explication en ligne - RAF","19/juin/24 10:41","0.2"
"OBCS-2933","Assistance - Explication en ligne - RAF","19/juin/24 10:41","3.35"
"OBCS-2934","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 10:50","0.47"
"OBCS-2936","Assistance - Explication en ligne - Assistant(e) / Stagiaire","19/juin/24 10:50","1.39"
"OBCS-2937","Assistance - Explication en ligne - Comptable","19/juin/24 10:50","2.4"
"OBCS-2938","Relance sur Bug en cours - Explication en ligne - Comptable","19/juin/24 10:50","1.46"
"OBCS-2956","Assistance - Explication en ligne - RAF","19/juin/24 10:51","6.6"
"OBCS-2957","Assistance - Explication en ligne - Chef de Projet","19/juin/24 10:51","0.17"
"OBCS-2958","Assistance - Redirection vers ressources OBC - Chef de Projet","19/juin/24 10:51","1.24"
"OBCS-2974","Assistance - Explication en ligne - Chef de Projet","19/juin/24 10:51","1.5"
"OBCS-2975","Assistance - Explication en ligne - Comptable","19/juin/24 10:51","5"
"OBCS-2976","Assistance - Explication en ligne - Comptable","19/juin/24 10:51","1.38"
"OBCS-2977","Assistance - Explication en ligne - Comptable","19/juin/24 10:51","1.44"
"OBCS-2978","Assistance - Revue des Accès/Workflows - Comptable","19/juin/24 10:51","1.46"
"OBCS-2979","Assistance - Explication en ligne - Comptable","19/juin/24 10:51","1.5"
"OBCS-2980","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:51","1.2"
"OBCS-2987","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 10:51","3.49"
"OBCS-2990","Assistance - Explication en ligne - Comptable","19/juin/24 10:51","3.46"
"OBCS-2991","Assistance - Explication en ligne - Comptable","19/juin/24 10:51","5.11"
"OBCS-2992","Assistance - Explication en ligne - Comptable","19/juin/24 10:51","15"
"OBCS-3003","Assistance - Explication en ligne - Comptable","19/juin/24 10:51","3"
"OBCS-3004","Assistance - Explication en ligne - Comptable","19/juin/24 10:51","2.4"
"OBCS-3005","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:51","1.5"
"OBCS-3006","Assistance - Explication en ligne - Comptable","19/juin/24 10:51","1.27"
"OBCS-3007","Assistance - Explication en ligne - Comptable","19/juin/24 10:51","1.14"
"OBCS-3008","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 10:51","2.22"
"OBCS-3009","Assistance - Explication en ligne - Comptable","19/juin/24 10:51","2.37"
"OBCS-3010","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:51","0.16"
"OBCS-3011","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:52","1.5"
"OBCS-3012","Assistance - Explication en ligne - Comptable","19/juin/24 10:52","2.57"
"OBCS-3013","Autres - Explication en ligne - Chef de Projet","19/juin/24 10:52","1.27"
"OBCS-3018","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 10:52","1.42"
"OBCS-3020","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:52","0.55"
"OBCS-3049","Assistance - Explication en ligne - Directeur Administratif et Financier","19/juin/24 10:52","2.2"
"OBCS-3050","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 10:52","1.3"
"OBCS-3051","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:52","1.31"
"OBCS-3052","Assistance - Explication en ligne - Comptable","19/juin/24 10:52","1.2"
"OBCS-3053","Assistance - Autres (Précisez dans la description) - Directeur Général","19/juin/24 10:52","1.33"
"OBCS-3054","Autres - Explication en ligne - Assistant(e) de direction","19/juin/24 10:52","1.56"
"OBCS-3055","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 10:52","1.2"
"OBCS-3056","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 10:52","0.26"
"OBCS-3057","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 10:52","0.28"
"OBCS-3058","Assistance - Explication en ligne - Comptable","19/juin/24 10:52","5.16"
"OBCS-3059","Assistance - Explication en ligne - Comptable","19/juin/24 10:52","2.33"
"OBCS-3074","Assistance - Explication en ligne - Comptable","19/juin/24 10:52","2"
"OBCS-3075","Assistance - Explication en ligne - Comptable","19/juin/24 10:52","14.36"
"OBCS-3076","Assistance - Explication en ligne - Comptable","19/juin/24 10:52","14.55"
"OBCS-3077","Assistance - Explication en ligne - Comptable","19/juin/24 10:52","1.7"
"OBCS-3078","Assistance - Explication en ligne - Comptable","19/juin/24 10:52","0.1"
"OBCS-3084","Assistance - Explication en ligne - Responsable Admin & FI","19/juin/24 10:53","8.2"
"OBCS-3085","Assistance - Explication en ligne - RAF","19/juin/24 10:53","1.45"
"OBCS-3086","Assistance - Explication en ligne - RAF","19/juin/24 10:53","19.23"
"OBCS-3130","Autres - Explication en ligne - Comptable","19/juin/24 10:53","2.25"
"OBCS-3131","Autres - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 10:53","1.11"
"OBCS-3132","Autres - Explication en ligne - Directeur Général","19/juin/24 10:53","1.12"
"OBCS-3133","Autres - Explication en ligne - Directeur Général","19/juin/24 10:53","1.19"
"OBCS-3134","Assistance - Explication en ligne - Comptable","19/juin/24 10:53","2.37"
"OBCS-3135","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 10:53","1.25"
"OBCS-3186","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:54","1.4"
"OBCS-3187","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:54","0.5"
"OBCS-3188","Autres - Explication en ligne - Directeur Général","19/juin/24 10:54","0.2"
"OBCS-3189","Assistance - Autres (Précisez dans la description) - Directeur des Ressources Humaines","19/juin/24 10:54","1.22"
"OBCS-3190","Autres - Mailing - Comptable","19/juin/24 10:54","2.38"
"OBCS-3191","Autres - Explication en ligne - Comptable","19/juin/24 10:54","1.7"
"OBCS-3192","Autres - Explication en ligne - Directeur Général","19/juin/24 10:54","1.43"
"OBCS-3285","Autres - Explication en ligne - Comptable","19/juin/24 10:55","0.36"
"OBCS-3286","Assistance - Explication en ligne - Comptable","19/juin/24 10:55","3.12"
"OBCS-3287","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:55","0.38"
"OBCS-3288","Assistance - Explication en ligne - Comptable","19/juin/24 10:55","3.1"
"OBCS-3289","Assistance - Explication en ligne - Comptable","19/juin/24 10:55","7.3"
"OBCS-3290","Assistance - Explication en ligne - Comptable","19/juin/24 10:55","3.12"
"OBCS-3291","Assistance - Explication en ligne - Comptable","19/juin/24 10:56","2.45"
"OBCS-3292","Autres - Explication en ligne - Comptable","19/juin/24 10:56","1.56"
"OBCS-3333","Relance sur Requête en cours - Explication en ligne - Directeur Général","19/juin/24 10:56","1.53"
"OBCS-3334","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:56","3.41"
"OBCS-3336","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:56","4.9"
"OBCS-3337","Assistance - Explication en ligne - Comptable","19/juin/24 10:56","2.3"
"OBCS-3378","Autres - Explication en ligne - Comptable","19/juin/24 10:57","1.12"
"OBCS-3379","Assistance - Explication en ligne - Comptable","19/juin/24 10:57","5"
"OBCS-3380","Relance sur Requête en cours - Explication en ligne - Directeur Général","19/juin/24 10:57","3.9"
"OBCS-3381","Assistance - Explication en ligne - Comptable","19/juin/24 10:57","1.44"
"OBCS-3382","Assistance - Explication en ligne - Comptable","19/juin/24 10:57","14.18"
"OBCS-3383","Assistance - Autres (Précisez dans la description) - Gestionnaire de Stock","19/juin/24 10:57","0.27"
"OBCS-3384","Assistance - Explication en ligne - Directeur Logistique","19/juin/24 10:57","1.5"
"OBCS-3385","Assistance - Explication en ligne - Comptable","19/juin/24 10:57","2.19"
"OBCS-3386","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:57","2.55"
"OBCS-3414","Autres - Explication en ligne - Comptable","19/juin/24 10:57","3.16"
"OBCS-3415","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:57","0.44"
"OBCS-3416","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:57","1.3"
"OBCS-3417","Assistance - Explication en ligne - Comptable","19/juin/24 10:57","1.9"
"OBCS-3429","Autres - Explication en ligne - Comptable","19/juin/24 10:58","5.54"
"OBCS-3430","Assistance - Explication en ligne - Comptable","19/juin/24 10:58","3.36"
"OBCS-3431","Assistance - Explication en ligne - Comptable","19/juin/24 10:58","0.56"
"OBCS-3432","Autres - Explication en ligne - Comptable","19/juin/24 10:58","2.7"
"OBCS-3433","Assistance - Explication en ligne - Comptable","19/juin/24 10:58","3.8"
"OBCS-3434","Assistance - Explication en ligne - Comptable","19/juin/24 10:58","2"
"OBCS-3470","Assistance - Explication en ligne - Comptable","19/juin/24 10:58","16.17"
"OBCS-3474","Assistance - Explication en ligne - Comptable","19/juin/24 10:58","5.4"
"OBCS-3505","Autres - Explication en ligne - Directeur Général","19/juin/24 10:59","1.35"
"OBCS-3506","Assistance - Explication en ligne - Comptable","19/juin/24 10:59","35.47"
"OBCS-3507","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 10:59","4.39"
"OBCS-3512","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:59","2.24"
"OBCS-3513","Planning Séance de travail - Explication en ligne - Comptable","19/juin/24 10:59","3.18"
"OBCS-3514","Autres - Explication en ligne - Directeur Général","19/juin/24 10:59","3.59"
"OBCS-3516","Assistance - Explication en ligne - Directeur Général","19/juin/24 10:59","1.46"
"OBCS-3549","Assistance - Explication en ligne - Comptable","19/juin/24 10:59","3.4"
"OBCS-3550","Assistance - Explication en ligne - Comptable","19/juin/24 10:59","1.51"
"OBCS-3551","Assistance - Explication en ligne - Comptable","19/juin/24 10:59","1.29"
"OBCS-3553","Assistance - Explication en ligne - Comptable","19/juin/24 10:59","1.32"
"OBCS-3554","Planning Séance de travail - Explication en ligne - Stagiaire Comptable","19/juin/24 10:59","3.56"
"OBCS-3566","Relance sur Requête en cours - Explication en ligne - Directeur Général","19/juin/24 11:00","3.15"
"OBCS-3567","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:00","3.5"
"OBCS-3568","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:00","6.36"
"OBCS-3569","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:00","2.6"
"OBCS-3570","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:00","4.6"
"OBCS-3571","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:00","3.1"
"OBCS-3572","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:00","4.5"
"OBCS-3633","Assistance - Explication en ligne - Comptable","19/juin/24 11:01","10"
"OBCS-3634","Assistance - Explication en ligne - Comptable","19/juin/24 11:01","1.1"
"OBCS-3636","Assistance - Explication en ligne - Comptable","19/juin/24 11:01","1.17"
"OBCS-3637","Planning Séance de travail - Explication en ligne - Directeur Logistique","19/juin/24 11:01","1.37"
"OBCS-3638","Planning Séance de travail - Explication en ligne - Gestionnaire de Stock","19/juin/24 11:01","1.14"
"OBCS-3639","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:01","2.42"
"OBCS-3640","Planning Séance de travail - Explication en ligne - Comptable","19/juin/24 11:01","3.34"
"OBCS-3641","Assistance - Explication en ligne - Comptable","19/juin/24 11:01","5.5"
"OBCS-3642","Assistance - Explication en ligne - Comptable","19/juin/24 11:01","1.21"
"OBCS-3643","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:01","7.8"
"OBCS-3644","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:01","1.22"
"OBCS-3645","Relance sur Requête en cours - Explication en ligne - Directeur Général","19/juin/24 11:01","1.8"
"OBCS-3646","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:01","39.31"
"OBCS-3647","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:01","7.5"
"OBCS-3701","Assistance - Explication en ligne - Comptable","19/juin/24 11:02","5.31"
"OBCS-3702","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:02","1.57"
"OBCS-3703","Assistance - Séance Google Meet/Zoom - Autres","19/juin/24 11:02","30"
"OBCS-3711","Assistance - Explication en ligne - Comptable","19/juin/24 11:02","0.37"
"OBCS-3712","Assistance - Explication en ligne - Comptable","19/juin/24 11:02","5.45"
"OBCS-3713","Assistance - Explication en ligne - Comptable","19/juin/24 11:02","7"
"OBCS-3714","Assistance - Explication en ligne - Comptable","19/juin/24 11:02","3.39"
"OBCS-3715","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:02","3.33"
"OBCS-3716","Assistance - Explication en ligne - Comptable","19/juin/24 11:02","3.39"
"OBCS-3724","Assistance - Explication en ligne - Comptable","19/juin/24 11:02","2.9"
"OBCS-3733","Assistance - Explication en ligne - Assistant(e) Comptable","19/juin/24 11:02","2.26"
"OBCS-3734","Assistance - Explication en ligne - Assistant(e) Comptable","19/juin/24 11:02","1.5"
"OBCS-3735","Assistance - Explication en ligne - Comptable","19/juin/24 11:02","3.5"
"OBCS-3748","Assistance - Explication en ligne - Comptable","19/juin/24 11:02","2.24"
"OBCS-3753","Assistance - Explication en ligne - Assistant(e) / Stagiaire","19/juin/24 11:02","2.8"
"OBCS-3754","Assistance - Séance Google Meet/Zoom - Assistant(e) / Stagiaire","19/juin/24 11:02","120"
"OBCS-3756","Assistance - Explication en ligne - Responsable RH","19/juin/24 11:03","1.3"
"OBCS-3760","Assistance - Explication en ligne - Comptable","19/juin/24 11:03","7"
"OBCS-3761","Autres - Explication en ligne - Comptable","19/juin/24 11:03","10"
"OBCS-3789","Assistance - Explication en ligne - Comptable","19/juin/24 11:03","2"
"OBCS-3806","Assistance - Explication en ligne - Comptable","19/juin/24 11:03","0.31"
"OBCS-3807","Assistance - Explication en ligne - Comptable","19/juin/24 11:03","1.43"
"OBCS-3815","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:03","2.17"
"OBCS-3816","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:03","3.3"
"OBCS-3817","Assistance - Explication en ligne - Comptable","19/juin/24 11:03","1.17"
"OBCS-3818","Assistance - Explication en ligne - Assistant(e) / Stagiaire","19/juin/24 11:03","44"
"OBCS-3819","Assistance - Explication en ligne - Assistant(e) / Stagiaire","19/juin/24 11:03","36"
"OBCS-3820","Assistance - Explication en ligne - Comptable","19/juin/24 11:03","5.24"
"OBCS-3821","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:03","2.51"
"OBCS-3822","Assistance - Explication en ligne - Comptable","19/juin/24 11:04","5.2"
"OBCS-3823","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:04","5.24"
"OBCS-3861","Autres - Explication en ligne - Comptable","19/juin/24 11:04","3.51"
"OBCS-3862","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 11:04","1.23"
"OBCS-3867","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:04","13.24"
"OBCS-3900","Assistance - Explication en ligne - Comptable","19/juin/24 11:05","4.24"
"OBCS-3901","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:05","9.4"
"OBCS-3902","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:05","13"
"OBCS-3903","Assistance - Explication en ligne - Comptable","19/juin/24 11:05","1.24"
"OBCS-3904","Assistance - Explication en ligne - Directeur général","19/juin/24 11:05","3.1"
"OBCS-3905","Assistance - Explication en ligne - Directeur général","19/juin/24 11:05","4.22"
"OBCS-3931","Assistance - Explication en ligne - Comptable","19/juin/24 11:05","2.33"
"OBCS-3932","Assistance - Explication en ligne - Comptable","19/juin/24 11:05","6.3"
"OBCS-3944","Assistance - Explication en ligne - Comptable","19/juin/24 11:05","4.32"
"OBCS-3945","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 11:05","0.49"
"OBCS-3946","Assistance - Explication en ligne - Comptable","19/juin/24 11:05","0.36"
"OBCS-3947","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:05","9.56"
"OBCS-3948","Assistance - Explication en ligne - Comptable","19/juin/24 11:05","1.54"
"OBCS-3949","Assistance - Explication en ligne - Comptable","19/juin/24 11:05","6.3"
"OBCS-3950","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:05","9.9"
"OBCS-3951","Assistance - Explication en ligne - Comptable","19/juin/24 11:05","4.26"
"OBCS-3952","Assistance - Explication en ligne - Comptable","19/juin/24 11:05","3.32"
"OBCS-3958","Assistance - Explication en ligne - Comptable","19/juin/24 11:06","5"
"OBCS-3959","Assistance - Explication en ligne - Comptable","19/juin/24 11:06","3.25"
"OBCS-3993","Relance sur Bug en cours - Explication en ligne - Comptable","19/juin/24 11:06","10.38"
"OBCS-3994","Relance sur Bug en cours - Explication en ligne - Comptable","19/juin/24 11:06","40.2"
"OBCS-3995","Assistance - Explication en ligne - Comptable","19/juin/24 11:06","1.33"
"OBCS-3996","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:06","1.52"
"OBCS-4002","Assistance - Explication en ligne - Comptable","19/juin/24 11:06","5.51"
"OBCS-4003","Assistance - Explication en ligne - Comptable","19/juin/24 11:06","13.28"
"OBCS-4004","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:06","5.56"
"OBCS-4005","Assistance - Explication en ligne - Comptable","19/juin/24 11:06","6.76"
"OBCS-4006","Assistance - Séance Google Meet/Zoom - Comptable","19/juin/24 11:06","20"
"OBCS-4008","Assistance - Explication en ligne - Comptable","19/juin/24 11:06","6.18"
"OBCS-4080","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:07","2.27"
"OBCS-4081","Relance sur Requête en cours - Explication en ligne - Directeur Général","19/juin/24 11:08","1.34"
"OBCS-4082","Assistance - Explication en ligne - Gestionnaire de Stock","19/juin/24 11:08","1.56"
"OBCS-4083","Assistance - Explication en ligne - Comptable","19/juin/24 11:08","14.38"
"OBCS-4084","Assistance - Autres (Précisez dans la description) - Comptable","19/juin/24 11:08","1.37"
"OBCS-4085","Relance sur Requête en cours - Explication en ligne - Directeur général","19/juin/24 11:08","3.25"
"OBCS-4086","Assistance - Explication en ligne - Comptable","19/juin/24 11:08","6.55"
"OBCS-4087","Assistance - Explication en ligne - Comptable","19/juin/24 11:08","6.55"
"OBCS-4088","Assistance - Explication en ligne - Comptable","19/juin/24 11:08","12.42"
"OBCS-4089","Autres - Explication en ligne - Comptable","19/juin/24 11:08","3.29"
"OBCS-4090","Planning Séance de travail - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:08","0.54"
"OBCS-4091","Planning Séance de travail - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:08","3.38"
"OBCS-4092","Planning Séance de travail - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:08","0.56"
"OBCS-4093","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 11:08","4.14"
"OBCS-4158","Autres - Autres (Précisez dans la description) - Comptable","19/juin/24 11:09","1.35"
"OBCS-4159","Planning Séance de travail - Explication en ligne - Comptable","19/juin/24 11:09","2.22"
"OBCS-4160","Assistance - Explication en ligne - Comptable","19/juin/24 11:09","0.53"
"OBCS-4161","Assistance - Explication en ligne - Comptable","19/juin/24 11:09","7.26"
"OBCS-4163","Assistance - Explication en ligne - Comptable","19/juin/24 11:09","1.46"
"OBCS-4164","Assistance - Explication en ligne - Directeur Général","19/juin/24 11:09","4.2"
"OBCS-4166","Assistance - Explication en ligne - Comptable","19/juin/24 11:09","8.29"
"OBCS-4167","Assistance - Explication en ligne - Comptable","19/juin/24 11:09","1.37"
"OBCS-4168","Relance sur Requête en cours - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","3.29"
"OBCS-4169","Assistance - Explication en ligne - Comptable","19/juin/24 11:09","2.23"
"OBCS-4186","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","1.41"
"OBCS-4188","Relance sur Requête en cours - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","1.37"
"OBCS-4196","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","1.58"
"OBCS-4198","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","5.42"
"OBCS-4199","Relance sur Requête en cours - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","11.32"
"OBCS-4200","Autres - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","1.14"
"OBCS-4201","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","5.26"
"OBCS-4203","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","1.14"
"OBCS-4204","Planning Séance de travail - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","3.1"
"OBCS-4211","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","2.29"
"OBCS-4212","Relance sur Bug en cours - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","2.59"
"OBCS-4213","Relance sur Requête en cours - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","0.16"
"OBCS-4214","Autres - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","0.39"
"OBCS-4215","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","0.55"
"OBCS-4216","Assistance - Explication en ligne - Comptable","19/juin/24 11:09","3.38"
"OBCS-4217","Assistance - Explication en ligne - Comptable","19/juin/24 11:09","5.34"
"OBCS-4218","Assistance - Explication en ligne - Comptable","19/juin/24 11:09","19.9"
"OBCS-4219","Relance sur Requête en cours - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:09","0.34"
"OBCS-4220","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:10","0.55"
"OBCS-4221","Assistance - Explication en ligne - Comptable","19/juin/24 11:10","16.3"
"OBCS-4222","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 11:10","16.19"
"OBCS-4223","Assistance - Explication en ligne - Comptable","19/juin/24 11:10","3.23"
"OBCS-4224","Assistance - Explication en ligne - Directeur général","19/juin/24 11:10","3.9"
"OBCS-4239","Assistance - Explication en ligne - Comptable","19/juin/24 11:10","10.31"
"OBCS-4284","Assistance - Explication en ligne - Comptable","19/juin/24 11:10","0.52"
"OBCS-4285","Planning Séance de travail - Explication en ligne - Comptable","19/juin/24 11:10","11.37"
"OBCS-4286","Planning Séance de travail - Explication en ligne - Comptable","19/juin/24 11:10","1.8"
"OBCS-4287","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:10","0.54"
"OBCS-4288","Assistance - Explication en ligne - Comptable","19/juin/24 11:10","1.2"
"OBCS-4297","Assistance - Explication en ligne - Directeur Achat","19/juin/24 11:11","1.21"
"OBCS-4298","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:11","3.45"
"OBCS-4348","Assistance - Explication en ligne - Comptable","19/juin/24 11:11","1.39"
"OBCS-4362","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:12","8.53"
"OBCS-4363","Assistance - Explication en ligne - Comptable","19/juin/24 11:12","1.13"
"OBCS-4364","Assistance - Explication en ligne - Comptable","19/juin/24 11:12","2.21"
"OBCS-4365","Assistance - Explication en ligne - Comptable","19/juin/24 11:12","4.16"
"OBCS-4366","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:12","2.25"
"OBCS-4370","Assistance - Explication en ligne - Comptable","19/juin/24 11:12","9.18"
"OBCS-4379","Assistance - Revue des Accès/Workflows - Gestionnaire de stock","19/juin/24 11:12","2.9"
"OBCS-4380","Assistance - Explication en ligne - Gestionnaire de stock","19/juin/24 11:12","4.51"
"OBCS-4396","Assistance - Explication en ligne - Comptable","19/juin/24 11:12","7.1"
"OBCS-4397","Assistance - Explication en ligne - Comptable","19/juin/24 11:12","2.15"
"OBCS-4398","Assistance - Autres (Précisez dans la description) - Comptable","19/juin/24 11:12","1.2"
"OBCS-4418","Planning Séance de travail - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:12","1.29"
"OBCS-4419","Assistance - Explication en ligne - Comptable","19/juin/24 11:12","1.31"
"OBCS-4420","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 11:12","1.49"
"OBCS-4421","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:12","0.37"
"OBCS-4422","Assistance - Explication en ligne - Assistant(e) de direction","19/juin/24 11:12","2.19"
"OBCS-4423","Assistance - Explication en ligne - Comptable","19/juin/24 11:12","1.32"
"OBCS-4427","Assistance - Explication en ligne - Directeur des Ressources Humaines","19/juin/24 11:13","2.6"
"OBCS-4428","Assistance - Explication en ligne - Comptable","19/juin/24 11:13","1.7"
"OBCS-4429","Assistance - Explication en ligne - Comptable","19/juin/24 11:13","2.48"
"OBCS-4430","Assistance - Explication en ligne - Comptable","19/juin/24 11:13","2.39"
"OBCS-4431","Assistance - Explication en ligne - Comptable","19/juin/24 11:13","14.28"
"OBCS-4469","Assistance - Explication en ligne - Comptable","19/juin/24 11:13","0.44"
"OBCS-4470","Relance sur Requête en cours - Explication en ligne - Comptable","19/juin/24 11:13","5.18"
"OBCS-4495","Assistance - Explication en ligne - Directeur général","19/juin/24 11:14","3.16"
"OBCS-4507","Assistance - Explication en ligne - Responsable Commercial & Marketing","19/juin/24 11:14","9.36"
"OBCS-4508","Relance sur Requête en cours - Explication en ligne - Responsable Commercial & Marketing","19/juin/24 11:14","2.26"
"OBCS-4509","Assistance - Explication en ligne - Responsable Commercial & Marketing","19/juin/24 11:14","18.38"
"OBCS-4524","Assistance - Explication en ligne - Responsable Commercial & Marketing","19/juin/24 11:14","7.45"
"OBCS-4525","Assistance - Explication en ligne - Responsable Commercial & Marketing","19/juin/24 11:14","1.44"
"OBCS-4526","Assistance - Explication en ligne - Responsable Commercial & Marketing","19/juin/24 11:14","5.6"
"OBCS-4527","Assistance - Explication en ligne - Responsable Commercial & Marketing","19/juin/24 11:14","1.29"
"OBCS-4528","Assistance - Explication en ligne - Responsable Commercial & Marketing","19/juin/24 11:14","5.17"
"OBCS-4529","Autres - Explication en ligne - Responsable Commercial & Marketing","19/juin/24 11:14","6.32"
"OBCS-4533","Assistance - Explication en ligne - Responsable Commercial & Marketing","19/juin/24 11:14","1"
"OBCS-4548","Assistance - Explication en ligne - Responsable Commercial & Marketing","19/juin/24 11:14","3"
"OBCS-4549","Assistance - Explication en ligne - Responsable Commercial & Marketing","19/juin/24 11:14","9.3"
"OBCS-4550","Autres - Explication en ligne - Responsable Commercial & Marketing","19/juin/24 11:14","1.4"
"OBCS-4560","Assistance - Explication en ligne - Responsable Commercial & Marketing","19/juin/24 11:15","2.49"
