OD,Client(s),Normalized
"OD-2848","ALL","ALL"
"OD-2847","ALL","ALL"
"OD-2845","FIRST CAPITAL","FIRST CAPITAL"
"OD-2844","FIRST CAPITAL","FIRST CAPITAL"
"OD-2843","ECORIGINE","ECORIGINE"
"OD-2842","FIRST CAPITAL","FIRST CAPITAL"
"OD-2841","2AAZ","2AAZ"
"OD-2840","EGBV","EGBV"
"OD-2839","ECORIGINE","ECORIGINE"
"OD-2838","ECORIGINE","ECORIGINE"
"OD-2837","ALL","ALL"
"OD-2836","S-TEL","S-TEL"
"OD-2835","AFREX/MEHO CAPITAL","AFREX/MEHO CAPITAL"
"OD-2834","ECORIGINE","ECORIGINE"
"OD-2833","FIRST CAPITAL","FIRST CAPITAL"
"OD-2832","ARIC","ARIC"
"OD-2831","FIRST CAPITAL","FIRST CAPITAL"
"OD-2830","ALL","ALL"
"OD-2829","ARIC","ARIC"
"OD-2828","LABOGEM","LABOGEM"
"OD-2827","CILAGRI","CILAGRI"
"OD-2826","ECORIGINE","ECORIGINE"
"OD-2825","ONPOINT","ONPOINT"
"OD-2824","AFREX/MEHO CAPITAL","AFREX/MEHO CAPITAL"
"OD-2823","ALL","ALL"
"OD-2822","SERTEM","SERTEM"
"OD-2821","SERTEM","SERTEM"
"OD-2820","SERTEM","SERTEM"
"OD-2819","CILAGRI","CILAGRI"
"OD-2818","ALL","ALL"
"OD-2817","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-2816","FALCON","FALCON"
"OD-2815","ALL","ALL"
"OD-2814","ALL","ALL"
"OD-2813","CILAGRI","CILAGRI"
"OD-2812","EGBV","EGBV"
"OD-2811","FIRST CAPITAL","FIRST CAPITAL"
"OD-2810","SIT BTP","SIT BTP"
"OD-2809","ONPOINT","ONPOINT"
"OD-2808","ONPOINT","ONPOINT"
"OD-2807","ONPOINT","ONPOINT"
"OD-2806","ONPOINT","ONPOINT"
"OD-2805","ONPOINT","ONPOINT"
"OD-2804","ONPOINT","ONPOINT"
"OD-2803","ONPOINT","ONPOINT"
"OD-2802","ONPOINT","ONPOINT"
"OD-2801","CILAGRI","CILAGRI"
"OD-2800","CILAGRI","CILAGRI"
"OD-2799","MATRELEC","MATRELEC"
"OD-2798","ALL","ALL"
