OD,Client(s),Normalized
"OD-2314","S-TEL","S-TEL"
"OD-2313","ONPOINT","ONPOINT"
"OD-2312","ONPOINT","ONPOINT"
"OD-2311","CILAGRI","CILAGRI"
"OD-2310","ONPOINT","ONPOINT"
"OD-2309","CILAGRI","CILAGRI"
"OD-2308","KORI TRANSPORT","KORI TRANSPORT"
"OD-2307","ALL","ALL"
"OD-2305","ALL","ALL"
"OD-2304","CILAGRI","CILAGRI"
"OD-2302","ALL","ALL"
"OD-2301","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-2300","EDIPRESSE","EDIPRESSE"
"OD-2299","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-2298","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-2297","ALL","ALL"
"OD-2296","SIS","SIS"
"OD-2295","ONPOINT","ONPOINT"
"OD-2294","S-TEL","S-TEL"
"OD-2293","CILAGRI","CILAGRI"
"OD-2292","ONPOINT","ONPOINT"
"OD-2291","EDIPRESSE","EDIPRESSE"
"OD-2290","S-TEL","S-TEL"
"OD-2289","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2288","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2287","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2286","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2285","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2284","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2283","SIS","SIS"
"OD-2282","MATRELEC","MATRELEC"
"OD-2280","ONPOINT","ONPOINT"
"OD-2279","SIS","SIS"
"OD-2277","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2276","ONPOINT","ONPOINT"
"OD-2275","S-TEL","S-TEL"
"OD-2274","ONPOINT","ONPOINT"
"OD-2273","ONPOINT","ONPOINT"
"OD-2272","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2271","SIS","SIS"
"OD-2270","SIS","SIS"
"OD-2268","S-TEL","S-TEL"
"OD-2267","ALL","ALL"
"OD-2266","ONPOINT","ONPOINT"
"OD-2265","ONPOINT","ONPOINT"
"OD-2264","EJARA","EJARA"
"OD-2263","FALCON","FALCON"
"OD-2262","SIS","SIS"
"OD-2261","ALL","ALL"
"OD-2259","ONPOINT","ONPOINT"
"OD-2258","ONPOINT","ONPOINT"
"OD-2257","ONPOINT","ONPOINT"
"OD-2256","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-2255","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2254","ONPOINT","ONPOINT"
"OD-2253","ONPOINT","ONPOINT"
"OD-2252","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2251","FALCON","FALCON"
"OD-2250","CILAGRI","CILAGRI"
"OD-2249","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2248","ALL","ALL"
"OD-2247","CILAGRI","CILAGRI"
"OD-2246","ALL","ALL"
"OD-2245","ALL","ALL"
"OD-2244","EDIPRESSE","EDIPRESSE"
"OD-2243","S-TEL","S-TEL"
"OD-2242","SIS","SIS"
"OD-2241","CILAGRI","CILAGRI"
"OD-2240","CILAGRI","CILAGRI"
"OD-2239","S-TEL","S-TEL"
"OD-2238","S-TEL","S-TEL"
"OD-2237","FALCON","FALCON"
"OD-2236","CIP","CIP"
"OD-2235","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2234","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2233","EGBV","EGBV"
"OD-2232","SIS","SIS"
"OD-2230","ALL","ALL"
"OD-2229","ALL","ALL"
"OD-2228","SIS","SIS"
"OD-2227","ALL","ALL"
"OD-2225","S-TEL","S-TEL"
"OD-2224","KORI TRANSPORT","KORI TRANSPORT"
"OD-2223","EGBV","EGBV"
"OD-2222","EGBV","EGBV"
"OD-2221","SIS","SIS"
"OD-2220","S-TEL","S-TEL"
"OD-2219","SIS","SIS"
"OD-2218","SIS","SIS"
"OD-2217","CILAGRI","CILAGRI"
"OD-2216","ALL","ALL"
"OD-2215","SIS","SIS"
"OD-2213","ALL","ALL"
"OD-2211","S-TEL","S-TEL"
"OD-2209","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2208","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2207","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2206","ALL","ALL"
"OD-2205","ALL","ALL"
"OD-2204","S-TEL","S-TEL"
"OD-2203","ALL","ALL"
"OD-2202","ECORIGINE","ECORIGINE"
"OD-2201","ONPOINT","ONPOINT"
"OD-2200","ALL","ALL"
"OD-2199","FIRST CAPITAL","FIRST CAPITAL"
"OD-2198","CILAGRI","CILAGRI"
"OD-2197","S-TEL","S-TEL"
"OD-2196","S-TEL","S-TEL"
"OD-2195","S-TEL","S-TEL"
"OD-2194","ONPOINT","ONPOINT"
"OD-2193","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2192","ONPOINT","ONPOINT"
"OD-2191","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2190","CILAGRI","CILAGRI"
"OD-2189","ALL","ALL"
"OD-2188","ALL","ALL"
"OD-2187","ECORIGINE","ECORIGINE"
"OD-2186","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2185","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2184","KORI TRANSPORT","KORI TRANSPORT"
"OD-2183","LABOGEM","LABOGEM"
"OD-2182","EGBV","EGBV"
"OD-2181","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2180","CHURN/TEST","CHURN/TEST"
"OD-2179","CILAGRI","CILAGRI"
"OD-2178","EDIPRESSE","EDIPRESSE"
"OD-2177","FALCON","FALCON"
"OD-2176","S-TEL","S-TEL"
"OD-2175","FALCON","FALCON"
"OD-2174","ONPOINT","ONPOINT"
"OD-2173","ONPOINT","ONPOINT"
"OD-2172","KORI TRANSPORT","KORI TRANSPORT"
"OD-2171","ALL","ALL"
"OD-2170","ONPOINT","ONPOINT"
"OD-2168","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2167","ALL","ALL"
"OD-2166","KORI TRANSPORT","KORI TRANSPORT"
"OD-2165","ONPOINT","ONPOINT"
"OD-2164","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2163","ONPOINT","ONPOINT"
"OD-2162","ONPOINT","ONPOINT"
"OD-2161","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2160","ONPOINT","ONPOINT"
"OD-2159","ALL","ALL"
"OD-2158","ONPOINT","ONPOINT"
"OD-2157","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2156","FALCON","FALCON"
"OD-2155","ONPOINT","ONPOINT"
"OD-2154","ALL","ALL"
"OD-2153","ALL","ALL"
"OD-2152","ONPOINT","ONPOINT"
"OD-2151","S-TEL","S-TEL"
"OD-2150","ALL","ALL"
"OD-2149","CHURN/TEST","CHURN/TEST"
"OD-2148","CHURN/TEST","CHURN/TEST"
"OD-2147","CHURN/TEST","CHURN/TEST"
"OD-2146","ALL","ALL"
"OD-2145","SIT BTP","SIT BTP"
"OD-2144","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2142","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2141","ONPOINT","ONPOINT"
"OD-2140","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2139","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2138","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2137","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2136","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2135","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2134","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2133","CHURN/TEST","CHURN/TEST"
"OD-2132","CHURN/TEST","CHURN/TEST"
"OD-2131","KORI TRANSPORT","KORI TRANSPORT"
"OD-2130","ONPOINT","ONPOINT"
"OD-2129","ONPOINT","ONPOINT"
"OD-2128","ONPOINT","ONPOINT"
"OD-2127","ONPOINT","ONPOINT"
"OD-2126","ONPOINT","ONPOINT"
"OD-2125","CILAGRI","CILAGRI"
"OD-2124","LABOGEM","LABOGEM"
"OD-2123","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2122","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2121","SIT BTP","SIT BTP"
"OD-2120","LABOGEM","LABOGEM"
"OD-2119","KORI TRANSPORT","KORI TRANSPORT"
"OD-2117","SIS","SIS"
"OD-2116","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2115","ONPOINT","ONPOINT"
"OD-2113","EGBV","EGBV"
"OD-2112","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2111","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2110","SIS","SIS"
"OD-2109","S-TEL","S-TEL"
"OD-2108","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2107","CILAGRI","CILAGRI"
"OD-2106","EJARA","EJARA"
"OD-2105","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2104","S-TEL","S-TEL"
"OD-2103","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2102","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2101","CSCTICAO","CSCTICAO"
"OD-2100","SIS","SIS"
"OD-2099","S-TEL","S-TEL"
"OD-2098","ALL","ALL"
"OD-2097","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2096","FALCON","FALCON"
"OD-2095","SIS","SIS"
"OD-2094","LABOGEM","LABOGEM"
"OD-2093","KORI TRANSPORT","KORI TRANSPORT"
"OD-2092","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2091","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2090","ALL","ALL"
"OD-2089","EGBV","EGBV"
"OD-2088","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2086","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-2085","ALL","ALL"
"OD-2084","SIT BTP","SIT BTP"
"OD-2083","ALL","ALL"
"OD-2082","FALCON","FALCON"
"OD-2081","OTOMASYS","OTOMASYS"
"OD-2080","ALL","ALL"
"OD-2079","LABOGEM","LABOGEM"
"OD-2078","LABOGEM","LABOGEM"
"OD-2077","ONPOINT","ONPOINT"
"OD-2076","ALL","ALL"
"OD-2075","ALL","ALL"
"OD-2074","EJARA","EJARA"
"OD-2073","TEAM SUPPORT","TEAM SUPPORT"
"OD-2071","LABOGEM","LABOGEM"
"OD-2070","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2069","LABOGEM","LABOGEM"
"OD-2068","ALL","ALL"
"OD-2067","S-TEL","S-TEL"
"OD-2066","ALL","ALL"
"OD-2065","ALL","ALL"
"OD-2064","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2063","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2062","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2061","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2060","SIS","SIS"
"OD-2059","ARIC","ARIC"
"OD-2058","ALL","ALL"
"OD-2057","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2056","KORI TRANSPORT","KORI TRANSPORT"
"OD-2055","FALCON","FALCON"
"OD-2054","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2053","SIS","SIS"
"OD-2052","SIS","SIS"
"OD-2051","S-TEL","S-TEL"
"OD-2050","ONPOINT","ONPOINT"
"OD-2049","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2048","EJARA","EJARA"
"OD-2047","SIS","SIS"
"OD-2046","ALL","ALL"
"OD-2045","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2044","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2043","ALL","ALL"
"OD-2042","2AAZ","2AAZ"
"OD-2041","ALL","ALL"
"OD-2040","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2039","ALL","ALL"
"OD-2038","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2037","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2036","S-TEL","S-TEL"
"OD-2035","SIT BTP","SIT BTP"
"OD-2034","CILAGRI","CILAGRI"
"OD-2033","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-2032","CIP","CIP"
"OD-2031","CIP","CIP"
"OD-2030","SIS","SIS"
"OD-2029","ALL","ALL"
"OD-2028","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2027","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2026","ALL","ALL"
"OD-2025","ALL","ALL"
"OD-2024","EDIPRESSE","EDIPRESSE"
"OD-2022","ARIC","ARIC"
"OD-2021","SIS","SIS"
"OD-2020","ALL","ALL"
"OD-2019","ALL","ALL"
"OD-2017","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2016","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2015","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-2012","ONPOINT","ONPOINT"
"OD-2011","EJARA","EJARA"
"OD-2010","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-2009","EDIPRESSE","EDIPRESSE"
"OD-2008","S-TEL","S-TEL"
"OD-2007","CILAGRI","CILAGRI"
"OD-2006","CILAGRI","CILAGRI"
"OD-2005","CILAGRI","CILAGRI"
"OD-2004","ALL","ALL"
"OD-2003","S-TEL","S-TEL"
"OD-2002","S-TEL","S-TEL"
"OD-2001","EGBV","EGBV"
"OD-2000","SIS","SIS"
"OD-1999","ALL","ALL"
"OD-1998","EDIPRESSE","EDIPRESSE"
"OD-1997","EDIPRESSE","EDIPRESSE"
"OD-1996","CIP","CIP"
"OD-1995","LABOGEM","LABOGEM"
"OD-1993","ONPOINT","ONPOINT"
"OD-1992","ONPOINT","ONPOINT"
"OD-1991","CILAGRI","CILAGRI"
"OD-1990","ALL","ALL"
"OD-1989","ALL","ALL"
"OD-1988","SIS","SIS"
"OD-1987","EDIPRESSE","EDIPRESSE"
"OD-1986","CIP","CIP"
"OD-1985","CIP","CIP"
"OD-1984","ALL","ALL"
"OD-1983","ARIC","ARIC"
"OD-1982","ALL","ALL"
"OD-1981","ALL","ALL"
"OD-1980","ARIC","ARIC"
"OD-1978","EJARA","EJARA"
"OD-1977","CIP","CIP"
"OD-1976","SIS","SIS"
"OD-1975","SIS","SIS"
"OD-1974","ONPOINT","ONPOINT"
"OD-1973","SIS","SIS"
"OD-1972","S-TEL","S-TEL"
"OD-1971","KORI TRANSPORT","KORI TRANSPORT"
"OD-1970","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1969","SIS","SIS"
"OD-1967","ONPOINT","ONPOINT"
"OD-1966","ONPOINT","ONPOINT"
"OD-1964","ONPOINT","ONPOINT"
"OD-1963","ONPOINT","ONPOINT"
"OD-1962","ONPOINT","ONPOINT"
"OD-1960","ONPOINT","ONPOINT"
"OD-1959","ONPOINT","ONPOINT"
"OD-1958","ONPOINT","ONPOINT"
"OD-1956","ONPOINT","ONPOINT"
"OD-1955","ONPOINT","ONPOINT"
"OD-1954","ONPOINT","ONPOINT"
"OD-1953","ONPOINT","ONPOINT"
"OD-1952","ONPOINT","ONPOINT"
"OD-1951","ONPOINT","ONPOINT"
"OD-1950","ONPOINT","ONPOINT"
"OD-1949","ONPOINT","ONPOINT"
"OD-1948","ONPOINT","ONPOINT"
"OD-1947","ONPOINT","ONPOINT"
"OD-1946","CILAGRI","CILAGRI"
"OD-1945","CIP","CIP"
"OD-1944","LABOGEM","LABOGEM"
"OD-1943","LABOGEM","LABOGEM"
"OD-1942","SIS","SIS"
"OD-1941","S-TEL","S-TEL"
"OD-1940","ONPOINT","ONPOINT"
"OD-1939","EDIPRESSE","EDIPRESSE"
"OD-1938","ONPOINT","ONPOINT"
"OD-1937","ONPOINT","ONPOINT"
"OD-1936","ALL","ALL"
"OD-1935","CSCTICAO","CSCTICAO"
"OD-1934","S-TEL","S-TEL"
"OD-1933","ONPOINT","ONPOINT"
"OD-1932","CIP","CIP"
"OD-1931","ALL","ALL"
"OD-1930","ONPOINT","ONPOINT"
"OD-1929","ALL","ALL"
"OD-1928","ALL","ALL"
"OD-1927","S-TEL","S-TEL"
"OD-1926","ALL","ALL"
"OD-1925","SIS","SIS"
"OD-1924","SIS","SIS"
"OD-1923","CIP","CIP"
"OD-1922","EDIPRESSE","EDIPRESSE"
"OD-1921","CIP","CIP"
"OD-1920","CIP","CIP"
"OD-1919","LABOGEM","LABOGEM"
"OD-1918","CILAGRI","CILAGRI"
"OD-1916","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1915","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1914","CIP","CIP"
"OD-1913","ALL","ALL"
"OD-1912","CIP","CIP"
"OD-1911","CILAGRI","CILAGRI"
"OD-1910","CILAGRI","CILAGRI"
"OD-1909","CILAGRI","CILAGRI"
"OD-1908","EJARA","EJARA"
"OD-1907","CILAGRI","CILAGRI"
"OD-1906","S-TEL","S-TEL"
"OD-1905","S-TEL","S-TEL"
"OD-1904","SIS","SIS"
"OD-1900","CIP","CIP"
"OD-1899","CIP","CIP"
"OD-1898","S-TEL","S-TEL"
"OD-1897","ONPOINT","ONPOINT"
"OD-1896","ONPOINT","ONPOINT"
"OD-1895","ONPOINT","ONPOINT"
"OD-1894","ONPOINT","ONPOINT"
"OD-1893","ONPOINT","ONPOINT"
"OD-1892","ONPOINT","ONPOINT"
"OD-1891","CIP","CIP"
"OD-1890","EJARA","EJARA"
"OD-1889","CIP","CIP"
"OD-1888","CIP","CIP"
"OD-1887","LABOGEM","LABOGEM"
"OD-1886","EGBV","EGBV"
"OD-1885","ALL","ALL"
"OD-1884","CIP","CIP"
"OD-1883","EJARA","EJARA"
"OD-1882","CIP","CIP"
"OD-1881","CIP","CIP"
"OD-1880","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1879","CILAGRI","CILAGRI"
"OD-1878","EJARA","EJARA"
"OD-1877","KORI TRANSPORT","KORI TRANSPORT"
"OD-1876","ALL","ALL"
"OD-1875","S-TEL","S-TEL"
"OD-1873","CIP","CIP"
"OD-1872","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1871","CILAGRI","CILAGRI"
"OD-1870","S-TEL","S-TEL"
"OD-1869","S-TEL","S-TEL"
"OD-1868","SIS","SIS"
"OD-1867","S-TEL","S-TEL"
"OD-1866","ONPOINT","ONPOINT"
"OD-1865","ONPOINT","ONPOINT"
"OD-1864","ONPOINT","ONPOINT"
"OD-1863","ONPOINT","ONPOINT"
"OD-1862","ONPOINT","ONPOINT"
"OD-1861","ONPOINT","ONPOINT"
"OD-1860","ONPOINT","ONPOINT"
"OD-1859","ONPOINT","ONPOINT"
"OD-1858","ONPOINT","ONPOINT"
"OD-1857","ONPOINT","ONPOINT"
"OD-1856","ONPOINT","ONPOINT"
"OD-1855","ONPOINT","ONPOINT"
"OD-1854","S-TEL","S-TEL"
"OD-1853","ALL","ALL"
"OD-1852","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1851","CILAGRI","CILAGRI"
"OD-1849","ONPOINT","ONPOINT"
"OD-1848","CIP","CIP"
"OD-1847","ONPOINT","ONPOINT"
"OD-1846","ONPOINT","ONPOINT"
"OD-1845","ONPOINT","ONPOINT"
"OD-1844","ONPOINT","ONPOINT"
"OD-1843","ONPOINT","ONPOINT"
"OD-1842","ONPOINT","ONPOINT"
"OD-1841","ONPOINT","ONPOINT"
"OD-1840","S-TEL","S-TEL"
"OD-1839","SIT BTP","SIT BTP"
"OD-1838","ONPOINT","ONPOINT"
"OD-1837","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1836","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1835","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1833","ONPOINT","ONPOINT"
"OD-1829","ONPOINT","ONPOINT"
"OD-1828","ONPOINT","ONPOINT"
"OD-1826","S-TEL","S-TEL"
"OD-1825","ONPOINT","ONPOINT"
"OD-1824","ONPOINT","ONPOINT"
"OD-1823","ONPOINT","ONPOINT"
"OD-1822","ONPOINT","ONPOINT"
"OD-1821","ONPOINT","ONPOINT"
"OD-1820","ONPOINT","ONPOINT"
"OD-1819","ONPOINT","ONPOINT"
"OD-1818","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1817","LABOGEM","LABOGEM"
"OD-1816","FALCON","FALCON"
"OD-1815","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1814","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1813","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1812","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1811","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1810","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1809","S-TEL","S-TEL"
"OD-1808","ROCFED","ROCFED"
"OD-1807","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-1806","S-TEL","S-TEL"
"OD-1805","CILAGRI","CILAGRI"
"OD-1804","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1803","KORI TRANSPORT","KORI TRANSPORT"
"OD-1802","SIS","SIS"
"OD-1801","ALL","ALL"
"OD-1800","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1799","ALL","ALL"
"OD-1798","ALL","ALL"
"OD-1797","FALCON","FALCON"
"OD-1796","FALCON","FALCON"
"OD-1795","FALCON","FALCON"
"OD-1794","SIS","SIS"
"OD-1793","ARIC","ARIC"
"OD-1792","ARIC","ARIC"
"OD-1791","ONPOINT","ONPOINT"
"OD-1790","CILAGRI","CILAGRI"
"OD-1789","ONPOINT","ONPOINT"
"OD-1788","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-1787","ALL","ALL"
"OD-1786","FALCON","FALCON"
"OD-1785","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-1784","FALCON","FALCON"
"OD-1783","SIT BTP","SIT BTP"
"OD-1782","SIT BTP","SIT BTP"
"OD-1781","ARIC","ARIC"
"OD-1780","ONPOINT","ONPOINT"
"OD-1779","SERTEM","SERTEM"
"OD-1778","CILAGRI","CILAGRI"
"OD-1777","CIP","CIP"
"OD-1776","ALL","ALL"
"OD-1775","CILAGRI","CILAGRI"
"OD-1774","EDIPRESSE","EDIPRESSE"
"OD-1773","ONPOINT","ONPOINT"
"OD-1772","EJARA","EJARA"
"OD-1771","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1770","MATRELEC","MATRELEC"
"OD-1769","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1768","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1767","ALL","ALL"
"OD-1766","SIT BTP","SIT BTP"
"OD-1765","SIT BTP","SIT BTP"
"OD-1764","ALL","ALL"
"OD-1763","ALL","ALL"
"OD-1762","ALL","ALL"
"OD-1761","LABOGEM","LABOGEM"
"OD-1760","ONPOINT","ONPOINT"
"OD-1759","ONPOINT","ONPOINT"
"OD-1758","ONPOINT","ONPOINT"
"OD-1757","ALL","ALL"
"OD-1756","EDIPRESSE","EDIPRESSE"
"OD-1755","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1754","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1753","MATRELEC","MATRELEC"
"OD-1752","MATRELEC","MATRELEC"
"OD-1751","MATRELEC","MATRELEC"
"OD-1750","MATRELEC","MATRELEC"
"OD-1749","FALCON","FALCON"
"OD-1748","S-TEL","S-TEL"
"OD-1747","SIS","SIS"
"OD-1746","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1745","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1744","ONPOINT","ONPOINT"
"OD-1743","KORI TRANSPORT","KORI TRANSPORT"
"OD-1742","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1741","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1740","FALCON","FALCON"
"OD-1739","S-TEL","S-TEL"
"OD-1738","ALL","ALL"
"OD-1737","SIS","SIS"
"OD-1736","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1734","ALL","ALL"
"OD-1733","ALL","ALL"
"OD-1732","ALL","ALL"
"OD-1731","ONPOINT","ONPOINT"
"OD-1730","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1729","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1728","ALL","ALL"
"OD-1727","SIS","SIS"
"OD-1726","SIS","SIS"
"OD-1725","SIS","SIS"
"OD-1724","S-TEL","S-TEL"
"OD-1722","S-TEL","S-TEL"
"OD-1721","S-TEL","S-TEL"
"OD-1720","ONPOINT","ONPOINT"
"OD-1719","ALL","ALL"
"OD-1718","S-TEL","S-TEL"
"OD-1717","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1716","ONPOINT","ONPOINT"
"OD-1715","ONPOINT","ONPOINT"
"OD-1714","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1713","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1712","ONPOINT","ONPOINT"
"OD-1711","ONPOINT","ONPOINT"
"OD-1710","EDIPRESSE","EDIPRESSE"
"OD-1709","SIS","SIS"
"OD-1708","SIS","SIS"
"OD-1707","EJARA","EJARA"
"OD-1706","ONPOINT","ONPOINT"
"OD-1705","ONPOINT","ONPOINT"
"OD-1704","ONPOINT","ONPOINT"
"OD-1702","ONPOINT","ONPOINT"
"OD-1701","ONPOINT","ONPOINT"
"OD-1700","ONPOINT","ONPOINT"
"OD-1699","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1698","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1697","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1696","ONPOINT","ONPOINT"
"OD-1694","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1693","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1692","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1691","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1690","S-TEL","S-TEL"
"OD-1689","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1688","S-TEL","S-TEL"
"OD-1687","S-TEL","S-TEL"
"OD-1686","S-TEL","S-TEL"
"OD-1685","S-TEL","S-TEL"
"OD-1684","S-TEL","S-TEL"
"OD-1683","S-TEL","S-TEL"
"OD-1682","S-TEL","S-TEL"
"OD-1681","S-TEL","S-TEL"
"OD-1680","LABOGEM","LABOGEM"
"OD-1679","KORI TRANSPORT","KORI TRANSPORT"
"OD-1677","SERTEM","SERTEM"
"OD-1676","S-TEL","S-TEL"
"OD-1675","FALCON","FALCON"
"OD-1674","ALL","ALL"
"OD-1673","S-TEL","S-TEL"
"OD-1672","ALL","ALL"
"OD-1671","LABOGEM","LABOGEM"
"OD-1670","LABOGEM","LABOGEM"
"OD-1669","ALL","ALL"
"OD-1668","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1667","SERTEM","SERTEM"
"OD-1666","S-TEL","S-TEL"
"OD-1664","S-TEL","S-TEL"
"OD-1663","KORI TRANSPORT","KORI TRANSPORT"
"OD-1662","ONPOINT","ONPOINT"
"OD-1661","S-TEL","S-TEL"
"OD-1660","EGBV","EGBV"
